,0
CARLOW,8
CAVAN,6
CLARE,32
CORK,64
DONEGAL,49
DUBLIN,506
GALWAY,58
KERRY,41
KILDARE,41
KILKENNY,15
LAOIS,11
LEITRIM,5
LIMERICK,21
LONGFORD,7
LOUTH,17
MAYO,34
MEATH,37
MONAGHAN,5
OFFALY,6
ROSCOMMON,12
SLIGO,19
TIPPERARY,12
WATERFORD,9
WESTMEATH,17
WEXFORD,28
WICKLOW,20
